x,y,power
0,50,80135.25
0,0,91487.34
300,50,84992.53
500,0,87705.87
600,0,88085.74
850,0,95883.61
1050,0,97824.08
1400,0,108230.3
1250,0,99251.62
1400,150,100527.46
0,100,75665.77
100,200,70630.48
150,250,68663.24
650,50,78702.7
650,150,78447.24
750,250,71405.26
1150,150,89604.38
1100,250,86546.33
1300,250,90978.72
1450,250,97839.11
50,400,66797.87
50,150,73395.3
400,200,74991.47
700,0,92622.08
750,200,77582.15
750,350,75863.68
1000,250,79637.34
1150,350,87203.26
1200,450,86393.53
1400,50,98418.16
0,600,66038.24
100,550,67675.38
450,550,68032.93
350,450,70254.74
650,450,70083.11
800,450,73622.35
950,500,74978.63
1050,350,76469.1
1200,550,81541.33
1450,550,95561.48
0,350,71238.28
100,900,66104.86
350,600,64439.44
700,650,68801.02
550,650,62909.79
850,650,71408.14
950,700,70390.94
1150,650,75735.78
1400,950,88990.76
1450,600,88390.67
150,850,63107.26
150,800,69081.21
250,650,61019.92
550,900,66469.56
800,850,65231.71
750,750,63200.17
1150,850,79420.28
1150,750,79062.72
1400,650,82403.31
1400,750,87401.87
0,950,64324.46
150,1000,62620.39
0,1150,56582.71
100,1100,59849.76
700,1000,68000.2
950,850,70483.23
900,1200,63811.17
1200,1150,79634.94
1400,1050,83076.15
1400,1000,85437.03
0,1100,59848.77
150,1050,59178.89
0,1300,60465.27
400,1100,62131.87
650,1100,62309.53
900,1150,69374.06
900,1050,69506.78
1100,1050,76910.56
1300,1400,68882.99
1400,1250,86118.4
0,1250,65223.01
200,1400,56306.52
350,1400,58090.76
450,1250,59436.18
750,1350,61459.31
650,1250,61671.03
950,1400,67939.73
1100,1250,67785.38
1200,1250,76252.74
1400,1350,84488.23
0,1400,58625.23
100,1400,55514.62
350,1450,54071.29
450,1450,58238.12
600,1400,59358.26
750,1450,60970.3
950,1450,63315.3
1150,1450,68097.55
1400,1450,81563.94
1350,1450,68969.29
