x;y;power;sample_id;site_id;category
45;990;114194.52;1231;1;Top
45;990;114194.52;3219;1;Top
45;990;114194.52;3218;1;Top
45;990;114194.52;3217;1;Top
45;990;114194.52;1230;1;Top
45;990;114194.52;1229;1;Top
45;990;114104.72;3426;1;Top
45;990;114104.72;1438;1;Top
45;990;114082.45;3208;1;Top
45;990;114082.45;1220;1;Top
200;0;38159.97;47;1;Bottom
0;100;38159.97;18764;1;Bottom
200;0;38137.7;31643;1;Bottom
50;0;37730.57;16703;1;Bottom
346;37.36;37725.4;25239;1;Bottom
0;50;37404.9;19721;1;Bottom
0;100;37369.63;18776;1;Bottom
200;0;37369.63;59;1;Bottom
200;0;36990.8;33843;1;Bottom
50;300;36674.17;13887;1;Bottom
50;250;36306.99;13887;1;Bottom
