site_id,x,y,avg_power
1,0,790.53,93178.76
1,0,829.58,94375.78
1,0,836.16,94673.68
1,0,868.03,91711.5
1,0,870.17,91108.03
1,0,875.5,92271.35
1,0,902,93835.54
1,0,903.16,94056.16
1,0,906,99454.61
1,0,912.38,92345.2
1,0,922.24,100231.55
1,0,925.48,93515.12
1,0,929.72,99069.28
1,0,931.98,98426.63
1,0,932.05,98434.67
1,0,934.73,98997.38
1,0,935.04,98578.91
1,0,936.22,98984.7
1,0,938.36,98294.67749999999
1,0,939.98,99268.64
1,0,941.08,98996.90428571428
1,0,941.57,99485.94
1,0,942.4,97517.54
1,0,945.28,97486.94
1,0,945.67,101270
1,0,946.09,97846.48
1,0,946.2,99441.42
1,0,946.73,100951.90999999999
1,0,946.79,100568.93
1,0,947.05,100495.11
1,0,947.27,99928.46
1,0,947.69,100709.37
1,0,947.75,99973.98
1,0,947.8,98139.84
1,0,948,101006.14
1,0,948.84,100664.09
1,0,949.4,101561.79
1,0,949.49,100746.75
1,0,949.67,100252.54000000001
1,0,949.69,100349.56
1,0,950,91220.9627523087
1,0,950.57,99856.77
1,0,950.59,100398.97
1,0,951.4,101062.828
1,0,951.83,100239.96
1,0,952.38,98804.04
1,0,952.56,101115.76
1,0,952.69,99850.38
1,0,952.86,100765.33666666666
1,0,952.9,101493.82
1,0,952.98,100720.03
1,0,953.4,100131.14
1,0,953.75,101278.2
1,0,953.79,100699.2
1,0,953.99,101526.28
1,0,954.24,98788.01
1,0,954.32,101148.63
1,0,954.58,101060.32
1,0,955.56,101142.37
1,0,955.7,101147.88
1,0,955.8,100209.36
1,0,955.95,101423.67
1,0,956,99085.57666666668
1,0,956.12,101219.01
1,0,956.19,100948.32800000001
1,0,956.27,98534.06
1,0,956.54,100376.87
1,0,956.81,98629.5
1,0,956.97,99090.24
1,0,957.12,100590.9
1,0,957.14,98582.71999999999
1,0,957.36,100892.45
1,0,957.55,101185.13
1,0,957.81,100150.44
1,0,957.9,98630.56571428572
1,0,957.91,100590.17
1,0,957.92,100571.28
1,0,957.98,101081.675
1,0,958,101198.65714285712
1,0,958.19,97829.325
1,0,958.33,100870.312
1,0,958.56,100555.03
1,0,958.57,98549.94
1,0,958.79,100350.26999999999
1,0,959.14,100654.89
1,0,959.33,100120.694
1,0,959.68,100866.3
1,0,959.84,100766.76
1,0,959.85,100700
1,0,959.91,101005.04
1,0,960,99440.51
1,0,960.16,100946.42
1,0,961.13,101448.65
1,0,961.6,97523.25
1,0,961.8,100853.63
1,0,961.87,98507.715
1,0,962.15,100844.84
1,0,962.73,100865.07333333332
1,0,962.94,100947.76
1,0,963.13,100526.45
1,0,963.37,99102.04
1,0,964.34,100526.17
1,0,964.35,96542.5
