x;y;power;sample_id;site_id;category
250.37;1134.15;154356.49;1120;2;Top
252.97;1138.07;144047.23;1120;2;Top
161.21;1253.25;107856.27;4397;2;Top
1350;100;106453.43;826;2;Top
748.45;1284.62;105857.85;6814;2;Top
1146.11;637.46;105756.58;2172;2;Top
1146.11;637.46;105756.58;6887;2;Top
1146.11;637.46;105756.58;3140;2;Top
1146.11;637.46;105756.58;6557;2;Top
1146.11;637.46;105756.58;1487;2;Top
1146.11;637.46;105756.58;986;2;Top
1146.11;637.46;105756.58;5963;2;Top
1146.11;637.46;105756.58;5902;2;Top
1146.11;637.46;105756.58;5559;2;Top
1146.11;637.46;105756.58;5274;2;Top
1146.11;637.46;105756.58;2569;2;Top
1146.11;637.46;105756.58;4222;2;Top
1146.11;637.46;105756.58;7196;2;Top
1146.11;637.46;105756.58;6976;2;Top
1146.11;637.46;105756.58;6725;2;Top
1146.11;637.46;105756.58;4679;2;Top
1146.11;637.46;105756.58;5025;2;Top
1146.11;637.46;105756.58;1961;2;Top
1146.11;637.46;105756.58;2189;2;Top
1146.11;637.46;105756.58;7016;2;Top
200;200;29415.29;2915;2;Bottom
147.06;0;29411.69;2354;2;Bottom
146.05;37.39;29320.86;6471;2;Bottom
89.85;74.92;29222.23;3737;2;Bottom
345.95;37.46;29096.72;511;2;Bottom
50;0;29082.99;6902;2;Bottom
32.43;112.26;28964.33;2915;2;Bottom
146.01;37.49;28956.9;2915;2;Bottom
89.75;74.99;28447.85;2915;2;Bottom
0;0;27161.33;2354;2;Bottom
