x,y,power
800,0,73387.52
746.03,37.52,77304.61
689.8,75.11,69792.94
632.36,112.37,60322.22
850,50,88033.97
921,45,97604.45
946,0,84437.53
1000,0,101618.08
400,200,65284.52
346.03,237.52,73936.23
289.8,275.11,78587.04
232.36,312.37,75644.21
600,200,60375.35
546.03,237.52,68088.53
489.8,275.11,75989.36
432.36,312.37,78106.94
800,200,83872.71
746.03,237.52,81298.75
689.8,275.11,81744.58
632.36,312.37,80454.31
200,400,66653.85
146.03,437.52,61065.11
89.8,475.11,58167.59
32.36,512.37,58084.15
1000,400,99871.04
946.03,437.52,101790.34
889.8,475.11,101401.37
832.36,512.37,98162.34
200,600,64793.23
149,625,70353.5
89.8,675.11,73708.88
32.36,712.37,76035.22
400,600,84219.2
346.03,637.52,86368.86
289.8,675.11,89883.54
232.36,712.37,94707.44
800,600,101397.29
746.03,637.52,103776.01
689.8,675.11,103392.11
632.36,712.37,100601.19
200,800,102920.17
146.03,837.52,110553.39
89.8,875.11,108624.46
32.36,912.37,105969.84
600,800,100194.76
546.03,837.52,103267.61
489.8,875.11,102743.17
432.36,912.37,100523.17
0,1000,96618.52
