sample_id,site_id,Total_Power,qW
1,1,4102461.43,0.87
2,1,4103361.41,0.87
3,1,4103680.44,0.87
4,1,4105661.06,0.87
5,1,3752648.77,0.79
6,1,3820015.36,0.81
7,1,3938280.03,0.83
8,1,3993212.16,0.85
9,1,4037155.2,0.85
10,1,4047144.2,0.86
11,1,4053880.07,0.86
12,1,4082171.61,0.86
13,1,4085099.52,0.87
14,1,4085099.52,0.87
15,1,4098011.24,0.87
16,1,4098323.44,0.87
17,1,3786769.92,0.8
18,1,3693791.96,0.78
19,1,3727646.4,0.79
20,1,3647168.22,0.77
21,1,3685622.61,0.78
22,1,3671382.03,0.78
23,1,3760993.28,0.8
24,1,3560139.72,0.75
25,1,3701185.85,0.78
26,1,3583799.95,0.76
27,1,3709012.05,0.79
28,1,3717290.61,0.79
29,1,3786769.92,0.8
30,1,3760993.28,0.8
31,1,3657654.9,0.77
32,1,3707464.86,0.79
33,1,3612709.69,0.77
34,1,3709012.05,0.79
35,1,3786769.92,0.8
36,1,3615609.13,0.77
37,1,3708800.09,0.79
38,1,3742223.07,0.79
39,1,3654964.06,0.77
40,1,3736237.71,0.79
41,1,3786769.92,0.8
42,1,3707464.86,0.79
43,1,3734912.38,0.79
44,1,3647207.31,0.77
45,1,3760993.28,0.8
46,1,3657654.9,0.77
47,1,3601880.96,0.76
48,1,3566238.31,0.76
49,1,3708800.09,0.79
50,1,3688175.77,0.78
51,1,3786769.92,0.8
52,1,3742223.07,0.79
53,1,3786769.92,0.8
54,1,3640403.4,0.77
55,1,3647207.31,0.77
56,1,3688175.77,0.78
57,1,3808083.83,0.81
58,1,3678978.21,0.78
59,1,3510678.33,0.74
60,1,3760993.28,0.8
61,1,3642451.26,0.77
62,1,3786769.92,0.8
63,1,3708800.09,0.79
64,1,3657654.9,0.77
65,1,3808083.83,0.81
66,1,3786769.92,0.8
67,1,3837737.14,0.81
68,1,3707216.66,0.79
69,1,3703757.08,0.78
70,1,3688175.77,0.78
71,1,3657654.9,0.77
72,1,3678978.21,0.78
73,1,3786769.92,0.8
74,1,3643321.65,0.77
75,1,3658034.67,0.77
76,1,3708800.09,0.79
77,1,3837737.14,0.81
78,1,3691021.31,0.78
79,1,3598168.51,0.76
80,1,3729863.5,0.79
81,1,3703757.08,0.78
82,1,3786769.92,0.8
83,1,3709591.27,0.79
84,1,3837737.14,0.81
85,1,3678978.21,0.78
86,1,3657654.9,0.77
87,1,3786769.92,0.8
88,1,3707216.66,0.79
